,lot_area,lot_frontage,overall_qual,overall_cond,exter_qual2,exter_cond2,year_built,year_remod/add,home_age,total_house_sf,porch_sf,gr_liv_area,bsmt_sf,totrms_abvgrd,bedroom_abvgr,baths,date_blt_1945-1979,date_blt_1980-2010,lot_config_Corner,lot_config_CulDSac,lot_config_Inside,lotshape_reg_yn,zone_FV,zone_RL,zone_RM,house_type_1Fam,house_type_Twnhs,neighborhood_Edwards,neighborhood_IDOTRR,neighborhood_NAmes,neighborhood_NoRidge,neighborhood_NridgHt,neighborhood_OldTown,neighborhood_StoneBr,remodel_yn,fireplaces,fireplace_yn,pool_yn,fence_yn,railroad_yn,garage_cars,bsmt_ok_yn,bsmt_usable_yn,bsmt_cond_2,bsmt_qual_2,house_sf_x_overall_qual,overall_qual_x_overall_cond,bsmt_sf_x_cond2,bsmt_sf_x_hgt,saleprice
0,13517,0.0,6,8,4,3,1976,2005,34,2204.0,88,1479,725.0,6,3,2.5,1,0,0,1,0,False,0,1,0,1,0,0,0,0,0,0,0,0,True,0,False,False,False,True,2.0,True,True,3,3,13224.0,48,2175.0,2175.0,130500
1,11492,43.0,7,5,4,3,1996,1997,14,3035.0,148,2122,913.0,8,4,3.5,0,1,0,1,0,False,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,False,False,2.0,True,True,3,4,21245.0,35,2739.0,3652.0,220000
2,7922,68.0,5,7,3,4,1953,2007,57,2114.0,104,1057,1057.0,5,3,2.0,1,0,0,0,1,True,0,1,0,1,0,0,0,1,0,0,0,0,True,0,False,False,False,False,1.0,True,True,3,3,10570.0,35,3171.0,3171.0,109000
3,9802,73.0,5,5,3,3,2006,2007,4,1828.0,100,1444,384.0,7,3,2.5,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,False,3,4,9140.0,25,1152.0,1536.0,174000
4,14235,82.0,6,8,3,3,1900,1993,110,2121.0,118,1445,676.0,6,3,2.0,0,0,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,False,4,2,12726.0,48,2704.0,1352.0,138500
5,16492,137.0,6,6,4,3,1966,2002,44,3405.0,0,1888,1517.0,6,2,2.5,1,0,1,0,0,False,0,1,0,1,0,0,0,1,0,0,0,0,True,1,True,False,False,False,2.0,True,True,3,3,20430.0,36,4551.0,4551.0,190000
6,3675,35.0,6,5,3,3,2005,2006,5,1619.0,88,1072,547.0,5,2,3.0,0,1,0,0,1,True,0,0,1,0,1,1,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,True,3,4,9714.0,30,1641.0,2188.0,140000
7,12160,0.0,5,5,3,3,1959,1959,51,2376.0,0,1188,1188.0,6,3,2.0,1,0,0,0,1,False,0,1,0,1,0,0,0,1,0,0,0,0,False,0,False,False,True,False,2.0,True,True,3,3,11880.0,25,3564.0,3564.0,142000
8,15783,0.0,5,5,3,3,1952,1952,58,1848.0,648,924,924.0,6,2,1.0,1,0,0,0,1,True,0,1,0,1,0,0,0,0,0,0,1,0,False,0,False,False,True,False,1.0,True,True,3,3,9240.0,25,2772.0,2772.0,112500
9,11606,70.0,5,5,3,3,1969,1969,41,3120.0,335,2080,1040.0,9,5,2.5,1,0,0,0,1,False,0,1,0,1,0,0,0,1,0,0,0,0,False,2,True,False,False,False,2.0,True,True,3,4,15600.0,25,3120.0,4160.0,135000
10,1680,21.0,6,5,3,3,1971,1971,39,1470.0,0,987,483.0,4,2,1.5,1,0,0,0,1,True,0,0,1,0,1,0,0,0,0,0,0,0,False,0,False,False,False,False,1.0,True,True,3,3,8820.0,30,1449.0,1449.0,85400
11,7488,64.0,7,5,4,3,2005,2005,5,2416.0,221,1208,1208.0,6,2,2.0,0,1,0,0,1,False,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,4,16912.0,35,3624.0,4832.0,183600
12,26400,120.0,5,7,4,3,1880,2007,130,2016.0,0,2016,0.0,7,4,1.0,0,0,0,0,0,True,0,1,0,1,0,0,0,0,0,0,0,0,True,1,True,False,False,False,2.0,False,False,0,0,10080.0,35,0.0,0.0,131000
13,2645,24.0,8,5,4,3,1999,2000,11,2567.0,169,1607,960.0,7,3,3.5,0,1,0,0,1,True,1,0,0,0,1,0,0,0,0,0,0,0,True,0,False,False,False,False,2.0,True,True,3,4,20536.0,40,2880.0,3840.0,200000
14,9627,74.0,7,5,4,3,2007,2007,3,2712.0,100,1361,1351.0,6,3,2.0,0,1,0,0,1,True,0,1,0,1,0,0,0,0,0,0,0,0,False,0,False,False,False,False,2.0,True,True,3,4,18984.0,35,4053.0,5404.0,193000
